url,type,source,date_signalement,titre
https://credit-agricole-securite-urgente.fr/login,phishing,cybermalveillance,2024-11-20,Faux site Crédit Agricole - vérification compte urgente
https://ameli-remboursement-rapide.net/dossier,phishing,cybermalveillance,2024-11-18,Faux portail Ameli - remboursement en attente
https://impots-tresor-public-credit.fr/formulaire,phishing,cybermalveillance,2024-11-15,Faux site des impôts - crédit d'impôt disponible
https://caf-aide-logement-versement.com/compte,phishing,cybermalveillance,2024-11-12,Faux site CAF - versement aide logement
https://chronopost-livraison-bloquee.fr/paiement,sms_frauduleux,cybermalveillance,2024-11-10,SMS Chronopost - colis bloqué paiement requis
https://pole-emploi-allocation-supplement.net,phishing,cybermalveillance,2024-11-08,Faux Pôle Emploi - complément d'allocation disponible
https://sfr-remboursement-facture.fr/espace-client,sms_frauduleux,cybermalveillance,2024-11-05,SMS SFR - remboursement facture en trop
https://free-mobile-offre-exclusive.net/activer,sms_frauduleux,cybermalveillance,2024-11-02,SMS Free Mobile - offre exclusive à activer
https://boursorama-validation-securite.fr/confirm,phishing,cybermalveillance,2024-10-30,Faux Boursorama - validation sécurité obligatoire
https://societe-generale-alerte-compte.net/verifier,phishing,cybermalveillance,2024-10-28,Fausse Société Générale - alerte activité suspecte
https://laposte-colis-taxe-douane.fr/payer,sms_frauduleux,cybermalveillance,2024-10-25,SMS La Poste - taxe douane colis à payer
https://cpf-formation-gratuite-2024.com/inscription,fraude_cpf,cybermalveillance,2024-10-22,Fraude CPF - formation gratuite inscription urgente
https://netflix-paiement-echoue.fr/mettre-a-jour,phishing,cybermalveillance,2024-10-20,Faux Netflix - paiement échoué mise à jour requise
https://paypal-limitation-compte.net/debloquer,phishing,cybermalveillance,2024-10-18,Faux PayPal - compte limité débloquage requis
https://amazon-commande-annulee.fr/confirmer,phishing,cybermalveillance,2024-10-15,Faux Amazon - commande annulée confirmation requise
https://apple-icloud-suspendu.fr/reactiver,phishing,cybermalveillance,2024-10-12,Faux Apple - iCloud suspendu réactivation urgente
https://microsoft-support-virus.net/aide,faux_support,cybermalveillance,2024-10-10,Faux support Microsoft - virus détecté sur votre PC
https://doctolib-rdv-annule-reprogrammer.fr,phishing,cybermalveillance,2024-10-08,Faux Doctolib - rendez-vous annulé à reprogrammer
https://edf-remboursement-trop-percu.com/reclamer,phishing,cybermalveillance,2024-10-05,Faux EDF - remboursement trop-perçu à réclamer
https://retraite-complement-pension.fr/dossier,phishing,cybermalveillance,2024-10-02,Faux site retraite - complément de pension disponible
https://leboncoin-paiement-securise.net/acheteur,arnaque_achat,cybermalveillance,2024-09-30,LeBonCoin - faux service paiement sécurisé acheteur
https://vinted-protection-acheteur.fr/valider,arnaque_achat,cybermalveillance,2024-09-28,Faux Vinted - protection acheteur à valider
https://assurance-maladie-carte-vitale.fr/renouveler,phishing,cybermalveillance,2024-09-25,Fausse Assurance Maladie - carte vitale à renouveler
https://urssaf-regularisation-cotisations.net,phishing,cybermalveillance,2024-09-22,Faux URSSAF - régularisation cotisations obligatoire
https://caisse-epargne-operation-bloquee.fr,phishing,cybermalveillance,2024-09-20,Fausse Caisse d'Épargne - opération bloquée
https://bnp-paribas-connexion-securisee.net/auth,phishing,cybermalveillance,2024-09-18,Faux BNP Paribas - reconnexion sécurisée obligatoire
https://orange-facture-impayee.fr/regulariser,sms_frauduleux,cybermalveillance,2024-09-15,SMS Orange - facture impayée à régulariser
https://colis-suivi-livraison-express.fr/track,sms_frauduleux,cybermalveillance,2024-09-12,SMS faux transporteur - suivi livraison express
https://permis-conduire-renouvellement.net/dossier,phishing,cybermalveillance,2024-09-10,Faux service permis conduire - renouvellement en ligne
https://allocation-chomage-majoration.fr/demander,phishing,cybermalveillance,2024-09-08,Faux France Travail - majoration allocation à demander
